CustomerID,InvoiceNo,Number of products
12413.0,569402,10
12413.0,C540367,1
12413.0,C540853,1
12414.0,543027,7
12414.0,550998,5
12414.0,552202,6
12415.0,540267,46
12415.0,540557,1
12415.0,543989,69
12415.0,545475,82
12415.0,548661,1
12415.0,553546,73
12415.0,554037,4
12415.0,556917,138
12415.0,556918,1
12415.0,559919,22
12415.0,559920,1
12415.0,560491,57
12415.0,563614,97
12415.0,565145,8
12415.0,565146,1
12415.0,569647,1
12415.0,569650,81
12415.0,574014,1
12415.0,574138,5
12415.0,576394,26
12415.0,576586,1
12415.0,C545525,2
12415.0,C551348,1
12415.0,C560540,57
12415.0,C574019,1
12415.0,C574344,1
12417.0,539391,11
12417.0,541991,16
12417.0,545536,19
12417.0,551398,23
12417.0,555574,23
12417.0,562445,21
12417.0,564378,35
12417.0,573656,24
12417.0,580965,20
12417.0,C540386,3
12417.0,C546208,2
12417.0,C575669,1
12418.0,563756,34
12420.0,570000,29
12421.0,541980,11
12421.0,557297,14
12421.0,563518,11
12421.0,578339,9
12421.0,C557300,1
12422.0,541520,13
12422.0,558041,18
12422.0,565466,8
12423.0,539676,16
12423.0,544474,15
12423.0,547109,20
12423.0,549249,18
12423.0,554147,22
12423.0,555161,5
12423.0,564853,12
12423.0,581493,17
12423.0,C565294,1
12424.0,558536,23
12424.0,558537,7
12425.0,567929,36
12426.0,554985,30
12427.0,536861,10
12427.0,570452,15
12427.0,577135,6
12427.0,C539866,3
12427.0,C579090,1
12428.0,545226,95
12428.0,545227,98
12428.0,545336,1
12428.0,547086,10
12428.0,548363,10
12428.0,549588,21
12428.0,559004,20
12428.0,563020,24
12428.0,576082,15
12428.0,C547234,2
12428.0,C549184,3
12428.0,C564108,1
12429.0,538003,20
12429.0,551054,21
12429.0,557427,29
12429.0,579881,27
12430.0,573108,11
12431.0,536389,14
12431.0,539419,9
12431.0,542542,20
12431.0,544193,37
12431.0,545065,10
12431.0,552956,23
12431.0,554126,17
12431.0,560473,23
12431.0,561040,20
12431.0,561228,1
12431.0,563179,10
12431.0,569722,27
12431.0,569723,5
12431.0,570446,17
12431.0,574469,2
12431.0,C555046,1
12431.0,C555288,2
12431.0,C561227,1
12432.0,557472,62
12432.0,557474,13
12432.0,557754,1
12432.0,573195,30
12432.0,573200,2
12433.0,536532,73
12433.0,537868,74
12433.0,566195,81
12433.0,573035,58
12433.0,579692,68
12433.0,581476,65
12433.0,581491,1
12434.0,547659,16
12434.0,567085,34
12434.0,C538723,3
12434.0,C548729,1
12435.0,546780,19
12435.0,567526,17
12436.0,565124,16
12437.0,540972,7
12437.0,543030,10
12437.0,544817,17
12437.0,544818,4
12437.0,546765,8
12437.0,551389,8
12437.0,553577,10
12437.0,554555,11
12437.0,556816,13
12437.0,565321,9
12437.0,565322,5
12437.0,567910,10
12437.0,573036,11
12437.0,574093,39
12437.0,574252,11
12437.0,577344,10
12437.0,579870,14
12437.0,581279,3
12437.0,C542714,1
12438.0,560991,49
12438.0,578811,49
12441.0,537693,11
12442.0,580955,12
12444.0,557621,90
12444.0,562844,15
12444.0,566773,20
12444.0,570793,17
12444.0,577314,35
12445.0,577125,4
12446.0,571035,58
12447.0,549559,26
12448.0,572886,22
12449.0,555572,48
12449.0,562034,39
12449.0,566076,45
12449.0,577046,59
12450.0,557303,6
12450.0,559148,2
12451.0,541518,101
12451.0,552013,94
12451.0,569653,100
12451.0,577157,44
12451.0,579259,15
12451.0,C560219,1
12452.0,578099,21
12452.0,578123,1
12452.0,C578122,1
12453.0,561627,43
12454.0,571255,15
12454.0,C571499,15
12455.0,544097,41
12455.0,544331,1
12455.0,555470,13
12455.0,559135,11
12455.0,562287,5
12455.0,568554,19
12456.0,548212,41
12456.0,561898,45
12456.0,572896,39
12456.0,C564134,4
12457.0,550188,23
12457.0,550281,2
12457.0,550671,1
12457.0,566756,34
12457.0,566916,1
12457.0,567188,1
12457.0,569489,1
12457.0,C550668,1
12457.0,C550672,1
12457.0,C562118,1
12457.0,C569490,1
12457.0,C570835,1
12458.0,545084,19
12458.0,568950,19
12461.0,559372,34
12461.0,565785,1
12462.0,543541,40
12462.0,577606,22
12462.0,C544397,4
12462.0,C581148,6
12463.0,549825,20
12463.0,553415,18
12463.0,557232,23
12463.0,571445,22
12463.0,C549827,1
12463.0,C554531,2
12463.0,C572479,2
12464.0,543117,6
12464.0,545140,3
12464.0,554159,4
12464.0,554161,2
12464.0,559890,2
12464.0,564481,4
12464.0,577087,3
12464.0,579441,5
12465.0,557885,26
12465.0,578084,21
12465.0,C580168,4
12468.0,542371,12
12468.0,555523,26
12468.0,C560564,2
12471.0,538174,46
12471.0,538175,1
12471.0,539395,27
12471.0,539398,1
12471.0,541093,7
12471.0,543056,16
12471.0,544811,14
12471.0,546920,18
12471.0,546921,2
12471.0,548745,27
12471.0,548746,1
12471.0,553037,13
12471.0,553038,5
12471.0,558841,1
12471.0,559298,22
12471.0,559300,12
12471.0,563950,21
12471.0,564309,5
12471.0,564360,23
12471.0,566984,19
12471.0,567924,8
12471.0,569639,1
12471.0,569640,27
12471.0,574097,29
12471.0,576909,32
12471.0,578333,12
12471.0,578469,13
12471.0,579416,12
12471.0,579419,6
12471.0,581179,38
12471.0,C536622,1
12471.0,C539644,15
12471.0,C540158,8
12471.0,C540346,1
12471.0,C540643,1
12471.0,C542101,3
12471.0,C543661,6
12471.0,C544570,1
12471.0,C547849,1
12471.0,C547968,2
12471.0,C549438,2
12471.0,C553840,1
12471.0,C561328,2
12471.0,C565284,7
12471.0,C565925,1
12471.0,C570727,1
12471.0,C573037,8
12471.0,C575150,7
12471.0,C578062,3
12472.0,537201,70
12472.0,542215,42
12472.0,546843,26
12472.0,556578,68
12472.0,561037,43
12472.0,571824,80
12472.0,574885,10
12472.0,C536548,14
12472.0,C543347,15
12472.0,C548356,7
12472.0,C559253,9
12472.0,C575064,6
12472.0,C575223,1
12473.0,555162,34
12473.0,563540,30
12473.0,571328,99
12473.0,575632,3
12473.0,575636,1
12473.0,C555163,1
12473.0,C555881,7
12473.0,C575635,2
12473.0,C575638,1
12474.0,541125,2
12474.0,541224,11
12474.0,542229,22
12474.0,544996,13
12474.0,547005,48
12474.0,547934,17
12474.0,553547,38
12474.0,554263,1
12474.0,557569,24
12474.0,558109,1
12474.0,559710,11
12474.0,561094,33
12474.0,565261,26
12474.0,570640,30
12474.0,571312,36
12474.0,572061,45
12474.0,576607,41
12474.0,578043,23
12474.0,C537333,1
12474.0,C543431,4
12474.0,C547581,4
12474.0,C547582,2
12474.0,C549019,5
12474.0,C554266,5
12474.0,C554336,4
12474.0,C565085,1
12474.0,C567519,1
12474.0,C572488,3
12474.0,C574061,1
12474.0,C576974,2
12475.0,571308,36
12476.0,538644,2
12476.0,542648,21
12476.0,543833,8
12476.0,550527,51
12476.0,552008,3
12476.0,560901,32
12476.0,566987,13
12476.0,572559,23
12476.0,572560,11
12476.0,576327,10
12476.0,578472,59
12476.0,C538642,2
12476.0,C538643,2
12476.0,C543830,3
12476.0,C552043,1
12476.0,C553924,2
12476.0,C562281,5
12476.0,C566986,1
12476.0,C576183,2
12476.0,C581409,13
12477.0,543737,52
12477.0,550137,57
12477.0,564856,90
12477.0,570002,24
12477.0,571227,32
12477.0,576910,45
12477.0,C542798,2
12477.0,C564142,3
12477.0,C566090,3
12478.0,580752,36
12479.0,579152,31
12479.0,C580714,2
12479.0,C580740,2
12480.0,540480,42
12480.0,546851,35
12480.0,560569,37
12480.0,575896,40
12481.0,537892,10
12481.0,539636,12
12481.0,540414,24
12481.0,547925,28
12481.0,547926,10
12481.0,553731,36
12481.0,553732,7
12481.0,556517,29
12481.0,569563,48
12481.0,576893,12
12481.0,C549098,1
12483.0,540040,13
12483.0,551278,12
12483.0,552717,1
12483.0,553674,2
12483.0,556194,11
12483.0,565287,14
12483.0,573333,16
12483.0,578089,6
12483.0,C540057,1
12483.0,C551585,1
12483.0,C551864,1
12483.0,C575081,2
12483.0,C578090,1
12484.0,540469,98
12484.0,557007,61
12484.0,564734,120
12484.0,564858,1
12484.0,574550,62
12484.0,574838,1
12484.0,C545728,3
12484.0,C569370,1
12488.0,568137,21
12488.0,573442,7
12488.0,579529,27
12489.0,540463,15
12490.0,541120,43
12490.0,552325,17
12490.0,557489,20
12490.0,561029,24
12490.0,564912,19
12490.0,565854,42
12490.0,574068,22
12490.0,576222,19
12490.0,577856,13
12490.0,580536,26
12491.0,573868,26
12492.0,564666,9
12492.0,570189,11
12493.0,554826,12
12493.0,558124,10
12493.0,C555100,1
12494.0,537967,3
12494.0,539113,1
12494.0,544200,16
12494.0,554940,21
12494.0,558699,10
12494.0,573402,15
12494.0,578348,11
12494.0,C539104,1
12494.0,C539114,1
12494.0,C540151,1
12494.0,C544609,1
12494.0,C559049,1
12494.0,C579532,2
12497.0,567298,14
12498.0,570881,13
12498.0,577299,8
12498.0,577301,2
12500.0,540553,5
12500.0,544281,5
12500.0,545557,5
12500.0,546919,3
12500.0,557972,9
12500.0,564475,5
12500.0,569727,7
12500.0,571729,5
12500.0,571739,1
12500.0,572134,11
12500.0,576869,5
12500.0,C569733,2
12500.0,C574347,2
12501.0,540458,149
12501.0,C542537,11
12502.0,543055,31
12502.0,546755,31
12502.0,552040,15
12502.0,562273,31
12502.0,565519,39
12503.0,C540271,1
12504.0,575352,6
12504.0,577776,3
12504.0,C577397,3
12504.0,C577775,3
12505.0,C543743,1
12506.0,550821,23
12507.0,543822,13
12507.0,559187,1
12507.0,561669,8
12507.0,C559175,1
12508.0,575692,51
12508.0,576064,17
12509.0,545181,7
12510.0,541491,29
12510.0,560607,4
12512.0,569527,29
12512.0,569529,2
12513.0,563753,35
12513.0,C567091,1
12514.0,546875,51
12515.0,539752,16
12516.0,556469,13
12516.0,567959,13
12517.0,555383,132
12517.0,562537,50
12517.0,568472,23
12517.0,575886,73
12517.0,575888,1
12517.0,C575839,2
12518.0,563914,18
12518.0,568103,33
12518.0,570718,25
12518.0,575787,30
12518.0,581494,18
12519.0,570007,17
12520.0,546365,60
12520.0,547715,17
12520.0,553741,25
12520.0,560728,19
12520.0,567666,31
12520.0,C546886,3
12521.0,560635,38
12522.0,571904,6
12522.0,573629,6
12523.0,540851,7
12523.0,544585,8
12523.0,546770,8
12523.0,548553,9
12523.0,561470,13
12523.0,563897,8
12523.0,564226,10
12523.0,567657,8
12523.0,569921,8
12523.0,572925,14
12523.0,577512,13
12523.0,C573869,1
12523.0,C581316,3
12524.0,540562,16
12524.0,544483,12
12524.0,545533,23
12524.0,551529,33
12524.0,553842,20
12524.0,558608,12
12524.0,570082,24
12524.0,579786,4
12526.0,565765,29
12526.0,571304,29
12526.0,581574,13
12527.0,541480,10
12527.0,544340,5
12527.0,567291,3
12528.0,542621,31
12528.0,545916,13
12528.0,559899,12
12528.0,563548,9
12528.0,570095,15
12528.0,579747,12
12528.0,C547806,2
12528.0,C563751,1
12530.0,540410,13
12530.0,550665,14
12530.0,562605,19
12530.0,570637,20
12530.0,C564104,2
12531.0,578705,17
12532.0,575326,16
12534.0,561911,63
12535.0,555637,18
12535.0,566074,16
12536.0,570672,259
12536.0,573077,1
12536.0,573080,1
12536.0,C573079,1
12536.0,C580263,11
12538.0,575707,21
12539.0,540550,93
12539.0,542303,93
12539.0,547387,44
12539.0,577039,43
12539.0,C542348,1
12540.0,538525,20
12540.0,540801,31
12540.0,542905,12
12540.0,547703,34
12540.0,551868,41
12540.0,555095,47
12540.0,555726,23
12540.0,559173,25
12540.0,561093,47
12540.0,564201,18
12540.0,566040,23
12540.0,567340,36
12540.0,568001,7
12540.0,569998,22
12540.0,571665,41
12540.0,575144,24
12540.0,577476,27
12540.0,C541654,1
12540.0,C567521,2
12541.0,545585,17
12541.0,557314,11
12541.0,575514,24
12544.0,574301,19
12544.0,C575531,1
12545.0,547790,34
12545.0,568179,16
12546.0,567968,45
12546.0,572442,24
12546.0,C569422,1
12547.0,545647,6
12547.0,554792,2
12548.0,558108,5
12550.0,567653,57
12551.0,539351,10
12552.0,573508,19
12552.0,573768,1
12553.0,541138,38
12553.0,544423,1
12553.0,545583,16
12553.0,547722,23
12553.0,553843,19
12553.0,559422,16
12553.0,563926,22
12553.0,570841,23
12553.0,576245,23
12553.0,580120,10
12553.0,C542088,1
12553.0,C543834,1
12553.0,C544422,1
12553.0,C579562,2
12556.0,559665,65
12556.0,572065,54
12557.0,536944,5
12557.0,540785,4
12557.0,547972,5
12557.0,558871,15
12557.0,578321,4
12558.0,580158,11
12558.0,C581229,11
12559.0,541877,20
12559.0,542926,1
12559.0,C542924,1
12560.0,560590,76
12560.0,563853,1
12560.0,580511,28
12560.0,C564913,6
12561.0,543587,16
12562.0,554648,21
12562.0,557069,28
12562.0,562450,29
12562.0,567191,21
12562.0,571240,28
12562.0,576941,19
12562.0,580126,22
12564.0,547520,21
12565.0,544838,9
12565.0,C545507,1
12566.0,566739,19
12566.0,C568580,1
12567.0,537065,63
12567.0,537468,20
12567.0,543188,63
12567.0,554097,35
12567.0,555933,17
12567.0,555936,17
12567.0,556507,61
12567.0,564173,39
12567.0,565443,50
12567.0,576927,81
12567.0,C555935,17
12569.0,548654,10
12569.0,550004,9
12569.0,550162,9
12569.0,551818,8
12569.0,551886,7
12569.0,556114,6
12569.0,558626,6
12569.0,560544,4
12569.0,560545,6
12569.0,562729,5
12569.0,563373,5
12569.0,564329,4
12569.0,565423,6
12569.0,565777,4
12569.0,566059,3
12569.0,569867,13
12569.0,569907,3
12569.0,570784,5
12569.0,572060,5
12569.0,572894,3
12569.0,572895,4
12569.0,574255,5
12569.0,576390,7
12569.0,576789,5
12569.0,576790,2
12569.0,578295,7
12569.0,579901,10
12569.0,580154,4
12569.0,580531,4
12569.0,580548,4
12569.0,581183,10
12569.0,581184,5
12569.0,C550611,1
12569.0,C564331,1
12569.0,C576816,1
12571.0,562894,14
12571.0,573428,20
12572.0,571724,36
12572.0,579927,24
12572.0,C572275,2
12573.0,551163,28
12574.0,542425,11
12576.0,543411,19
12576.0,551988,11
12576.0,559834,16
12576.0,565470,16
12576.0,574343,26
12576.0,C561104,1
12577.0,539050,67
12577.0,574501,58
12577.0,574506,21
12577.0,C574512,1
12578.0,541115,70
12578.0,577316,44
12578.0,C540129,1
12578.0,C542273,5
12579.0,567915,29
12579.0,C567916,1
12579.0,C568534,1
12580.0,549193,24
12581.0,573417,15
12582.0,544886,12
12582.0,550192,10
12583.0,536370,20
12583.0,540455,22
12583.0,543625,13
12583.0,546373,20
12583.0,554134,20
12583.0,556463,14
12583.0,557627,12
12583.0,559441,14
12583.0,564471,11
12583.0,567552,22
12583.0,569120,14
12583.0,570851,6
12583.0,575067,24
12583.0,577687,16
12583.0,581001,19
12583.0,C543992,1
12583.0,C568244,2
12583.0,C571127,1
12584.0,545664,18
12584.0,555843,9
12584.0,561259,6
12584.0,562424,1
12584.0,567478,15
12584.0,570919,14
12584.0,573365,12
12584.0,577809,13
12584.0,580746,8
12584.0,C546501,1
12584.0,C558439,3
12584.0,C562423,3
12584.0,C562425,1
12584.0,C569949,6
12584.0,C572761,4
12584.0,C576216,6
12584.0,C579785,5
12584.0,C579864,1
12585.0,539957,65
12585.0,550620,22
12585.0,C540243,9
12585.0,C550171,1
12586.0,578078,11
12586.0,C537232,1
12587.0,580265,4
12588.0,573588,10
12589.0,560363,10
12589.0,575747,25
12590.0,552978,67
12590.0,552980,1
12590.0,C555366,2
12591.0,542238,26
12592.0,552649,9
12592.0,566054,9
12593.0,551887,11
12593.0,562039,5
12593.0,564159,5
12594.0,541703,12
12594.0,544399,13
12594.0,547914,13
12594.0,547931,1
12594.0,550606,8
12594.0,555107,23
12594.0,556119,1
12594.0,562922,22
12594.0,572457,24
12594.0,574022,1
12594.0,C547930,1
12596.0,549682,15
12596.0,571851,12
12597.0,546760,30
12597.0,556241,48
12597.0,573362,116
12597.0,577523,12
12597.0,C574894,8
12598.0,545105,26
12598.0,551539,20
12598.0,551552,1
12598.0,558687,16
12598.0,568994,18
12598.0,575845,14
12598.0,577502,26
12598.0,579634,11
12598.0,C545837,1
12599.0,543459,14
12599.0,545051,5
12599.0,553195,10
12599.0,558334,8
12599.0,559685,5
12599.0,562520,6
12599.0,575629,14
12600.0,536967,2
12600.0,539327,5
12600.0,543048,8
12600.0,547085,3
12600.0,551467,8
12600.0,553884,5
12600.0,560230,9
12600.0,563776,9
12600.0,567134,6
12600.0,575750,9
12600.0,C553414,1
12601.0,540769,9
12601.0,543550,6
12601.0,548412,3
12601.0,553885,6
12601.0,555417,4
12601.0,C555013,1
12602.0,570724,12
12603.0,577168,3
12604.0,547492,10
12604.0,567640,6
12605.0,C538123,3
12607.0,570467,101
12607.0,C570867,101
12609.0,542128,16
12609.0,555719,27
12609.0,567904,17
12610.0,562528,54
12610.0,564476,18
12610.0,572695,24
12610.0,572934,1
12610.0,576907,9
12610.0,C562969,2
12610.0,C576199,3
12611.0,571670,65
12612.0,568350,19
12612.0,C571009,2
12613.0,547383,45
12613.0,547384,1
12613.0,554699,22
12613.0,554700,6
12613.0,571065,79
12613.0,C575082,10
12614.0,545718,20
12615.0,558045,31
12615.0,568798,29
12615.0,574104,25
12615.0,581171,20
12616.0,544069,11
12616.0,565612,21
12616.0,C544679,2
12616.0,C548564,1
12616.0,C566960,1
12617.0,575661,41
12618.0,577178,11
12619.0,548489,5
12619.0,550625,7
12619.0,558895,1
12619.0,559987,15
12619.0,563345,11
12619.0,566586,7
12619.0,567958,13
12619.0,574653,14
12619.0,578298,17
12619.0,C558897,1
12619.0,C568677,1
12619.0,C568899,1
12619.0,C575592,2
12620.0,553838,33
12620.0,567380,24
12620.0,578698,35
12621.0,537894,14
12621.0,539405,18
12621.0,543900,30
12621.0,544573,22
12621.0,547821,5
12621.0,551258,34
12621.0,552337,33
12621.0,552874,42
12621.0,552875,6
12621.0,554325,21
12621.0,557055,11
12621.0,557056,1
12621.0,560211,28
12621.0,564140,31
12621.0,564972,50
12621.0,567305,15
12621.0,567336,10
12621.0,571658,22
12621.0,576629,17
12621.0,581266,57
12621.0,C539097,1
12621.0,C557408,1
12621.0,C566084,5
12622.0,550960,11
12623.0,545994,18
12624.0,556886,19
12624.0,564531,19
12625.0,541965,53
12625.0,552878,33
12625.0,C543050,5
12626.0,541269,53
12626.0,542375,6
12626.0,558628,44
12626.0,560876,36
12626.0,562370,44
12626.0,563808,23
12626.0,569844,62
12626.0,573106,13
12626.0,576863,13
12626.0,C541735,6
12626.0,C542781,2
12626.0,C559189,2
12626.0,C561358,3
12627.0,560997,40
12627.0,562035,28
12627.0,564079,35
12627.0,564082,1
12627.0,565442,37
12627.0,569893,60
12627.0,579393,29
12628.0,569721,17
12628.0,574713,11
12628.0,580648,13
12628.0,C577693,2
12630.0,572964,35
12630.0,579550,29
12631.0,571053,31
12633.0,544933,34
12633.0,554861,38
12633.0,562038,14
12633.0,570754,15
12633.0,C555600,2
12635.0,559362,40
12635.0,566233,61
12637.0,541631,72
12637.0,547194,38
12637.0,547196,4
12637.0,550145,31
12637.0,559036,32
12637.0,565865,67
12637.0,566163,67
12637.0,569332,71
12637.0,C542271,3
12637.0,C550147,1
12638.0,574690,39
12639.0,550277,22
12640.0,567293,42
12640.0,576373,9
12640.0,576669,2
12641.0,563443,10
12642.0,564216,24
12642.0,572054,11
12642.0,576322,12
12643.0,540789,2
12643.0,551649,4
12643.0,551652,5
12643.0,556305,3
12643.0,557483,2
12643.0,562207,8
12644.0,562045,31
12645.0,542369,16
12645.0,551820,20
12645.0,564039,23
12645.0,574679,14
12645.0,C565089,1
12646.0,572215,24
12646.0,580553,21
12647.0,537197,17
12647.0,537198,2
12647.0,537594,17
12647.0,539403,11
12647.0,546925,5
12647.0,549434,6
12647.0,554363,15
12647.0,559316,16
12647.0,562527,4
12647.0,566267,19
12647.0,567914,3
12647.0,577027,7
12647.0,C539031,6
12648.0,559421,21
12649.0,552844,17
12649.0,564337,13
12649.0,564338,1
12649.0,C538084,2
12650.0,580986,20
12651.0,540521,9
12652.0,540976,48
12652.0,C541825,3
12653.0,544108,16
12653.0,559948,27
12654.0,544302,11
12654.0,554711,8
12654.0,554713,3
12654.0,574071,11
12654.0,579276,5
12656.0,550661,18
12656.0,553997,14
12656.0,563288,37
12656.0,568645,29
12656.0,578033,28
12656.0,C549582,1
12656.0,C563109,2
12656.0,C574946,1
12657.0,567793,28
12657.0,573316,1
12657.0,579190,9
12657.0,579193,9
12657.0,C579192,9
12658.0,577615,36
12659.0,575581,5
12660.0,579153,13
12662.0,536527,15
12662.0,543121,19
12662.0,545988,19
12662.0,550178,24
12662.0,555553,31
12662.0,560566,30
12662.0,564328,19
12662.0,571556,31
12662.0,576890,23
12662.0,576891,6
12662.0,581570,13
12662.0,C543445,2
12664.0,541756,5
12664.0,550924,4
12664.0,560549,9
12664.0,566598,4
12664.0,569522,2
12664.0,570769,3
12664.0,574332,4
12664.0,578300,2
12664.0,580123,4
12664.0,C570775,1
12665.0,541517,3
12665.0,C540850,1
12666.0,C539037,2
12667.0,570875,33
12668.0,539466,24
12668.0,542713,50
12668.0,547822,49
12668.0,579094,38
12668.0,C548915,2
12668.0,C580313,5
12669.0,547892,69
12669.0,548913,1
12669.0,559704,31
12669.0,C548914,1
12670.0,550827,22
12670.0,554356,13
12670.0,565239,23
12670.0,575671,20
12670.0,579492,14
12670.0,C576908,2
12672.0,541121,10
12673.0,541277,23
12673.0,580512,19
12674.0,553208,17
12674.0,557669,20
12674.0,566115,22
12674.0,573867,24
12674.0,C558575,1
12674.0,C574095,5
12674.0,C579127,1
12676.0,542911,12
12676.0,547645,7
12676.0,555403,5
12676.0,562600,6
12676.0,569018,7
12676.0,576519,8
12678.0,539688,1
12678.0,539727,4
12678.0,545086,13
12678.0,548496,35
12678.0,548725,1
12678.0,555531,18
12678.0,559889,10
12678.0,564862,1
12678.0,564897,10
12678.0,567756,10
12678.0,573153,61
12678.0,573273,1
12678.0,C557142,2
12679.0,545301,42
12679.0,553666,2
12679.0,566492,2
12679.0,570798,2
12679.0,C545997,3
12679.0,C569981,2
12679.0,C571473,1
12679.0,C571678,1
12679.0,C571680,1
12680.0,563712,20
12680.0,566256,7
12680.0,568518,10
12680.0,581587,15
12681.0,537463,41
12681.0,539607,47
12681.0,540178,34
12681.0,540642,50
12681.0,541567,31
12681.0,542735,18
12681.0,546428,18
12681.0,546678,29
12681.0,547327,31
12681.0,550313,27
12681.0,553161,23
12681.0,554650,30
12681.0,555547,32
12681.0,559418,36
12681.0,559607,27
12681.0,568040,38
12681.0,572986,23
12681.0,572992,2
12681.0,575193,38
12681.0,576894,16
12681.0,577121,32
12681.0,578736,15
12681.0,C542089,2
12681.0,C551333,1
12681.0,C554029,2
12681.0,C568557,2
12681.0,C578743,1
12682.0,536974,16
12682.0,538093,33
12682.0,540239,40
12682.0,542904,19
12682.0,542922,19
12682.0,546479,21
12682.0,548737,27
12682.0,553044,24
12682.0,553316,7
12682.0,554109,10
12682.0,555096,18
12682.0,556819,12
12682.0,556820,17
12682.0,558813,16
12682.0,559699,11
12682.0,559819,10
12682.0,560452,5
12682.0,563189,25
12682.0,564479,23
12682.0,564906,2
12682.0,566873,15
12682.0,567296,18
12682.0,570267,8
12682.0,570409,16
12682.0,573891,21
12682.0,575519,14
12682.0,575584,13
12682.0,577295,10
12682.0,578835,5
12682.0,579708,19
12682.0,580753,30
12683.0,537897,13
12683.0,538008,41
12683.0,541405,21
12683.0,545235,17
12683.0,547504,35
12683.0,547508,8
12683.0,551544,21
12683.0,551545,1
12683.0,552946,12
12683.0,555937,30
12683.0,564670,48
12683.0,565931,23
12683.0,572087,39
12683.0,580705,34
12683.0,580706,1
12683.0,C540156,1
12683.0,C541688,1
12683.0,C552335,1
12683.0,C565615,9
12683.0,C574261,6
12684.0,552631,30
12684.0,553357,1
12684.0,554840,13
12684.0,557734,14
12684.0,570020,11
12684.0,576399,30
12684.0,580144,6
12685.0,565801,26
12685.0,565930,64
12685.0,568176,14
12685.0,570879,12
12685.0,571923,19
12685.0,575884,22
